番号	枝番	分類	Title	URL	予測ポイント	やる/やらない	ポイント	予定時間	実績時間	イテレーション	Status	Assignees
		(FE)	ログ対応	https://github.com/ks-kentem/cloud-pm/issues/1638			0.5	3.5		5	未対応	
		(FE)	【スマホ】点検記録表備考入力	https://github.com/ks-kentem/cloud-pm/issues/1641			0.5	3.5	2	5	処理済み・Close	kentem-ka-hashimoto
		(FE)	【工事内容】タブのレスポンシブ対応	https://github.com/ks-kentem/cloud-pm/issues/1707			0.5	3.5	2	5	処理中	kentem-to-okemoto
		(ﾃｽﾄ)	【マスター】設計	https://github.com/ks-kentem/cloud-pm/issues/1642			2	14	6	5	処理済み・Close	kentem-na-kawamura
		(ﾃｽﾄ)	【マスター】実施	https://github.com/ks-kentem/cloud-pm/issues/1656			0.5	3.5			未対応	kentem-na-kawamura
		(ﾃｽﾄ)	【工事内容】設計	https://github.com/ks-kentem/cloud-pm/issues/1643			2	14	5	5	処理中	kentem-na-kawamura
		(ﾃｽﾄ)	【工事内容】実施	https://github.com/ks-kentem/cloud-pm/issues/1657			0.5	3.5			未対応	kentem-na-kawamura
		(ﾃｽﾄ)	【日報】設計	https://github.com/ks-kentem/cloud-pm/issues/1644			2.5	17.5	18	5	処理済み・Close	kentem-na-kawamura
		(ﾃｽﾄ)	【日報】実施	https://github.com/ks-kentem/cloud-pm/issues/1658			0.5	3.5			未対応	kentem-na-kawamura
		(ﾃｽﾄ)	【日報詳細】設計	https://github.com/ks-kentem/cloud-pm/issues/1645			1.5	10.5	8.5	5	処理済み・Close	kentem-na-kawamura
		(ﾃｽﾄ)	【日報詳細】実施	https://github.com/ks-kentem/cloud-pm/issues/1659			0.5	3.5			未対応	kentem-na-kawamura
		(ﾃｽﾄ)	【日報複写】設計	https://github.com/ks-kentem/cloud-pm/issues/1646			2	14	0.5	5	処理済み・Close	kentem-na-kawamura
		(ﾃｽﾄ)	【日報複写】実施	https://github.com/ks-kentem/cloud-pm/issues/1660			0.5	3.5			未対応	kentem-na-kawamura
		(ﾃｽﾄ)	【日報プレビュー】設計	https://github.com/ks-kentem/cloud-pm/issues/1647			2.5	17.5			未対応	kentem-na-kawamura
		(ﾃｽﾄ)	【日報プレビュー】実施	https://github.com/ks-kentem/cloud-pm/issues/1665			1	7			未対応	kentem-na-kawamura
		(ﾃｽﾄ)	【スマホ】設計	https://github.com/ks-kentem/cloud-pm/issues/1648			1	7			未対応	kentem-na-kawamura
		(ﾃｽﾄ)	【スマホ】実施	https://github.com/ks-kentem/cloud-pm/issues/1662			0.5	3.5			未対応	kentem-na-kawamura
		(ﾃｽﾄ)	【同時編集】設計	https://github.com/ks-kentem/cloud-pm/issues/1649			2.5	17.5	3.5	5	処理中	kentem-na-kawamura
		(ﾃｽﾄ)	【同時編集】実施	https://github.com/ks-kentem/cloud-pm/issues/1663			1	7			未対応	kentem-na-kawamura
		(ﾃｽﾄ)	パフォーマンス・負荷テスト	https://github.com/ks-kentem/cloud-pm/issues/1650			1	7	1		処理中	kentem-na-kawamura
		(ﾃｽﾄ)	目視チェック	https://github.com/ks-kentem/cloud-pm/issues/1651			2	14			未対応	kentem-na-kawamura
		(ﾃｽﾄ)	不具合関連	https://github.com/ks-kentem/cloud-pm/issues/1652			3	21			未対応	kentem-na-kawamura
		(ﾃｽﾄ)	最終スルー	https://github.com/ks-kentem/cloud-pm/issues/1653			1.5	10.5			未対応	kentem-na-kawamura
		(ﾃｽﾄ)	【バッファ】設計	https://github.com/ks-kentem/cloud-pm/issues/1654			2	14			未対応	kentem-na-kawamura
