番号	枝番	分類	Title	URL	予測ポイント	やる/やらない	ポイント	予定時間	実績時間	イテレーション	Status	Assignees
		(FE)	【日報】データの保存（API接続）	https://github.com/ks-kentem/cloud-pm/issues/530			0.5	3.5	2	5	処理済み・Close	kentem-re-hiramatsu
		(FE)	施工日のラベルを表示	https://github.com/ks-kentem/cloud-pm/issues/507			0.5	3.5	2	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	指示日を実装	https://github.com/ks-kentem/cloud-pm/issues/508			1	7	3	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	【施工日・指示日】データの取得・保存（API接続）	https://github.com/ks-kentem/cloud-pm/issues/509			1	7	2	5	未対応	kentem-re-hiramatsu
		(FE)	目標時間・無災害労働時間の入力欄を実装	https://github.com/ks-kentem/cloud-pm/issues/532			0.5	3.5	1.5	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	自動計算・入力のラジオボタン追加と入力制御	https://github.com/ks-kentem/cloud-pm/issues/533			0.5	3.5	0.5	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	カレンダーで手入力した日付のアイコンを変える	https://github.com/ks-kentem/cloud-pm/issues/534			0.5	3.5		5	未対応	kentem-re-hiramatsu
		(FE)	自動計算の値を取得（API接続）	https://github.com/ks-kentem/cloud-pm/issues/535			0.5	3.5	3	5	プルリク中	kentem-re-hiramatsu
		(FE)	【無災害労働時間】データの取得・保存（API接続）	https://github.com/ks-kentem/cloud-pm/issues/536			0.5	3.5	3	5	プルリク中	kentem-re-hiramatsu
		(FE)	作業内容の列を追加	https://github.com/ks-kentem/cloud-pm/issues/538			0.5	3.5	0.5	3	処理済み・Close	kentem-re-hiramatsu
		(FE)	【作業内容】データの取得・保存（API接続）	https://github.com/ks-kentem/cloud-pm/issues/540			0.5	3.5	0.5	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	その他指示事項の列を追加	https://github.com/ks-kentem/cloud-pm/issues/542			0.5	3.5	0.5	3	処理済み・Close	kentem-re-hiramatsu
		(FE)	【その他指示事項】データの取得・保存（API接続）	https://github.com/ks-kentem/cloud-pm/issues/544			0.5	3.5	0.5	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	備考の列を追加	https://github.com/ks-kentem/cloud-pm/issues/546			0.5	3.5	0.5	3	処理済み・Close	kentem-re-hiramatsu
		(FE)	【備考】データの取得・保存（API接続）	https://github.com/ks-kentem/cloud-pm/issues/548			0.5	3.5	0.5	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	打合せ事項の入力欄を実装	https://github.com/ks-kentem/cloud-pm/issues/550			0.5	3.5	0.5	3	処理済み・Close	kentem-re-hiramatsu
		(FE)	【打合せ事項】データの取得・保存（API接続）	https://github.com/ks-kentem/cloud-pm/issues/551			0.5	3.5	0.5	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	安全巡視記録のグリッドを実装	https://github.com/ks-kentem/cloud-pm/issues/553			1	7	1.5	3	処理済み・Close	kentem-re-hiramatsu
		(FE)	【安全巡視記録】データの取得・保存	https://github.com/ks-kentem/cloud-pm/issues/554			0.5	3.5	1.5	4	処理済み・Close	kentem-re-hiramatsu
		(FE)	【マスター】安全指示事項、点検記録表	https://github.com/ks-kentem/cloud-pm/issues/556			0.5	3.5		5	処理済み・Close	kentem-to-okemoto
		(FE)	【工事内容】安全指示事項、点検記録表	https://github.com/ks-kentem/cloud-pm/issues/557			0.5	3.5	1	5	処理済み・Close	kentem-re-hiramatsu
		(FE)	安全指示事項ダイアログ	https://github.com/ks-kentem/cloud-pm/issues/558			0.5	3.5		5	プルリク中	kentem-re-hiramatsu
		(FE)	【日報】安全指示事項	https://github.com/ks-kentem/cloud-pm/issues/559			0.5	3.5	1	5	処理済み・Close	kentem-re-hiramatsu
		(FE)	【マスター】安全指示事項、点検記録表	https://github.com/ks-kentem/cloud-pm/issues/562			0.5	3.5		5	処理済み・Close	kentem-to-okemoto
		(FE)	【工事内容】安全指示事項、点検記録表	https://github.com/ks-kentem/cloud-pm/issues/563			0.5	3.5	1	5	処理済み・Close	kentem-re-hiramatsu
		(FE)	日報の追加項目	https://github.com/ks-kentem/cloud-pm/issues/564			0.5	3.5	1	5	処理中	kentem-re-hiramatsu
		(FE)	日報複写の処理を実装	https://github.com/ks-kentem/cloud-pm/issues/567			1	7		5	未対応	kentem-sh-kitazawa
		(FE)	複写対象の項目を画面に追加	https://github.com/ks-kentem/cloud-pm/issues/566			0.5	3.5	2.5	5	処理済み・Close	kentem-sh-kitazawa
		(FE)	表示設定ダイアログに工種名の設定を追加	https://github.com/ks-kentem/cloud-pm/issues/569			2	14	7.5	5	プルリク中	kentem-sh-kitazawa
		(FE)	表示の切り替え処理の実装（API接続）	https://github.com/ks-kentem/cloud-pm/issues/570			1	7	3.5	5	プルリク中	kentem-sh-kitazawa
		(FE)	日報プレビュー画面の作成	https://github.com/ks-kentem/cloud-pm/issues/572			0.5	3.5	6.5	5	処理済み・Close	kentem-to-okemoto
		(FE)	A3タブの画面作成（API接続）	https://github.com/ks-kentem/cloud-pm/issues/573			1	0	0	5	プルリク中	kentem-ak-iwabuchi
		(FE)	A4タブの画面作成（API接続）	https://github.com/ks-kentem/cloud-pm/issues/574			1	0	0	5	プルリク中	kentem-ak-iwabuchi
		(FE)	Excel出力の実装（API接続）	https://github.com/ks-kentem/cloud-pm/issues/575			2	14	10.5	5	プルリク中	kentem-ak-iwabuchi
		(FE)	日報詳細列を戻す	https://github.com/ks-kentem/cloud-pm/issues/1480			0.5	3.5	6	3	処理済み・Close	kentem-sh-kitazawa
		(FE)	詳細列結合	https://github.com/ks-kentem/cloud-pm/issues/1481			0.5	3.5	3	3	処理済み・Close	kentem-sh-kitazawa
		(FE)	工種タブ作成	https://github.com/ks-kentem/cloud-pm/issues/1482			0.5	3.5	11	4	処理済み・Close	kentem-sh-kitazawa
		(FE)	タブの切り替え処理	https://github.com/ks-kentem/cloud-pm/issues/1483			1	7	15.5	4	処理済み・Close	kentem-sh-kitazawa
		(FE)	工種名選択を複数選択に変更	https://github.com/ks-kentem/cloud-pm/issues/1484			0.5	3.5	2.5	5	処理済み・Close	kentem-sh-kitazawa
		(FE)	工種名選択とタブの連動	https://github.com/ks-kentem/cloud-pm/issues/1485			1	7	4.5	5	処理中	kentem-sh-kitazawa
		(FE)	工種名選択と工種名ドロップダウン連動	https://github.com/ks-kentem/cloud-pm/issues/1486			0.5	3.5	1	5	処理中	kentem-sh-kitazawa
		(FE)	前、次の会社への処理修正	https://github.com/ks-kentem/cloud-pm/issues/1487			0.5	3.5	3	4	処理済み・Close	kentem-sh-kitazawa
		(FE)	既存の入力欄をタブ内に移動	https://github.com/ks-kentem/cloud-pm/issues/1488			0.5	3.5	3	4	処理済み・Close	kentem-sh-kitazawa
		(FE)	作業内容の入力欄を実装	https://github.com/ks-kentem/cloud-pm/issues/1489			0.5	3.5	1.5	4	処理済み・Close	kentem-sh-kitazawa
		(FE)	安全指示事項の入力欄を実装	https://github.com/ks-kentem/cloud-pm/issues/1490			0.5	3.5	1	4	処理済み・Close	kentem-sh-kitazawa
		(FE)	その他指示事項の入力欄を実装	https://github.com/ks-kentem/cloud-pm/issues/1491			0.5	3.5	1.5	4	処理済み・Close	kentem-sh-kitazawa
		(FE)	備考の入力欄を実装	https://github.com/ks-kentem/cloud-pm/issues/1492			0.5	3.5	1.5	4	処理済み・Close	kentem-sh-kitazawa
		(FE)	エラー関係	https://github.com/ks-kentem/cloud-pm/issues/1493			0.5	3.5		5	未対応	kentem-sh-kitazawa
		(FE)	保存時のAPI修正	https://github.com/ks-kentem/cloud-pm/issues/1494			0.5	3.5		5	未対応	kentem-sh-kitazawa
		(FE)	【日報】点検記録表のカードを実装	https://github.com/ks-kentem/cloud-pm/issues/1466			1	7	1.5	4	処理済み・Close	kentem-ka-hashimoto
		(FE)	【日報】一括チェックの処理を実装	https://github.com/ks-kentem/cloud-pm/issues/1467			0.5	3.5			破棄	
		(FE)	【日報】データの保存（API接続）	https://github.com/ks-kentem/cloud-pm/issues/1468			0.5	3.5	7.5	5	プルリク中	kentem-ka-hashimoto
		(FE)	【日報】ルート画面に点検記録表、打ち合わせ事項、安全巡視記録ボタン表示	https://github.com/ks-kentem/cloud-pm/issues/1469			0.5	3.5	0.5	4	処理済み・Close	kentem-ka-hashimoto
		(FE)	【日報】打合せ事項追加ダイアログ作成	https://github.com/ks-kentem/cloud-pm/issues/1470			0.5	3.5	1	4	処理済み・Close	kentem-ka-hashimoto
		(FE)	【日報】打合せ事項追加処理(API接続)	https://github.com/ks-kentem/cloud-pm/issues/1471			0.5	3.5	2	5	処理済み・Close	kentem-ka-hashimoto
		(FE)	【日報】安全巡視記録追加ダイアログ作成	https://github.com/ks-kentem/cloud-pm/issues/1472			1	7	1	4	処理済み・Close	kentem-ka-hashimoto
		(FE)	【日報】安全巡視記録カード作成	https://github.com/ks-kentem/cloud-pm/issues/1473			0.5	3.5	2	4	処理済み・Close	kentem-ka-hashimoto
		(FE)	【日報】安全巡視記録取得処理(API接続)	https://github.com/ks-kentem/cloud-pm/issues/1474			0.5	3.5	1.5	5	処理済み・Close	kentem-ka-hashimoto
		(FE)	【日報】安全巡視記録編集処理(API接続)	https://github.com/ks-kentem/cloud-pm/issues/1475			0.5	3.5	1.5	5	処理済み・Close	kentem-ka-hashimoto
		(FE)	日報入力追加画面に項目を追加（安全指示事項、作業内容、その他指示事項）	https://github.com/ks-kentem/cloud-pm/issues/1476			1	7	0.5	5	処理中	kentem-ka-hashimoto
		(FE)	追加処理に項目を追加(API接続)	https://github.com/ks-kentem/cloud-pm/issues/1477			0.5	3.5		5	未対応	kentem-ka-hashimoto
		(FE)	日報複写ダイアログに項目を追加	https://github.com/ks-kentem/cloud-pm/issues/1478			0.5	3.5	2	5	処理済み・Close	kentem-sh-kitazawa
		(FE)	点検記録表GetApi接続	https://github.com/ks-kentem/cloud-pm/issues/1610			0.5	3.5	3.5	5	プルリク中	kentem-ka-hashimoto
		(BE)	テーブル・モデル類を追加	https://github.com/ks-kentem/cloud-pm/issues/627			0.5	3.5	0.5	2	処理済み・Close	kentem-na-hasegawa
		(BE)	工事 ID 指定 配列取得 API 実装 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/628			1	7	3	2	処理済み・Close	kentem-na-hasegawa
		(BE)	工事 ID 指定 配列保存 API 実装 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/629			1.5	10.5	4	2	処理済み・Close	kentem-na-hasegawa
		(BE)	単体作成 API 実装 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/630			1	7		2	破棄	kentem-na-hasegawa
		(BE)	テーブル・モデル類を追加	https://github.com/ks-kentem/cloud-pm/issues/632			0.5	3.5	1.5	2	処理済み・Close	kentem-na-hasegawa
		(BE)	工事 ID 指定 配列取得 API 実装 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/633			1	7	4.5	2	処理済み・Close	kentem-na-hasegawa
		(BE)	工事 ID 指定 配列保存 API 作成	https://github.com/ks-kentem/cloud-pm/issues/634			1.5	10.5	8	2	処理済み・Close	kentem-na-hasegawa
		(BE)	テーブル・モデル類を追加	https://github.com/ks-kentem/cloud-pm/issues/647			0.5	3.5	1	3	処理済み・Close	kentem-na-hasegawa
		(BE)	日報 工事 ID 指定 取得 API 項目追加 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/648			2	14	2	3	処理済み・Close	kentem-na-hasegawa
		(BE)	日報 工事 ID 指定 保存 API 項目追加 + テストケース	https://github.com/ks-kentem/cloud-pm/issues/649			2	14	13	4	処理済み・Close	kentem-na-hasegawa
		(BE)	テーブル・モデル類を追加	https://github.com/ks-kentem/cloud-pm/issues/656			0.5	3.5	0.5	3	処理済み・Close	kentem-na-hasegawa
		(BE)	日報取得 API 修正	https://github.com/ks-kentem/cloud-pm/issues/657			1.5	10.5	4	3	処理済み・Close	kentem-na-hasegawa
		(BE)	日報保存 API 修正	https://github.com/ks-kentem/cloud-pm/issues/658			1.5	10.5	11.5	3	処理済み・Close	kentem-na-hasegawa
		(BE)	フィールド追加	https://github.com/ks-kentem/cloud-pm/issues/652			0.5	3.5	0.5	3	処理済み・Close	kentem-na-hasegawa
		(BE)	日報取得 API 修正	https://github.com/ks-kentem/cloud-pm/issues/653			0.5	3.5	1.5	3	処理済み・Close	kentem-na-hasegawa
